id,match_number,stage,start_time,location,team1,team2
match-070,70,Group J,2026-06-28T02:00:00Z,"AT&T Stadium, Arlington",Jordan,Argentina
match-073,73,Round of 32,2026-06-28T19:00:00Z,"Sofi Stadium, Inglewood",2A,2B
match-076,76,Round of 32,2026-06-29T17:00:00Z,"NRG Stadium, Houston",1C,2F
match-074,74,Round of 32,2026-06-29T20:30:00Z,"Gillette Stadium, Foxborough",1E,3ABCDF
match-075,75,Round of 32,2026-06-30T01:00:00Z,"Estadio BBVA, Guadalupe",1F,2C
match-078,78,Round of 32,2026-06-30T18:00:00Z,"AT&T Stadium, Arlington",2E,2I
match-077,77,Round of 32,2026-06-30T21:00:00Z,"MetLife Stadium, East Rutherford",1I,3CDFGH
match-079,79,Round of 32,2026-07-01T01:00:00Z,"Estadio Azteca, Mexico City",1A,3CEFHI
match-080,80,Round of 32,2026-07-01T16:00:00Z,"Mercedes-Benz Stadium, Atlanta",1L,3EHIJK
match-082,82,Round of 32,2026-07-01T20:00:00Z,"Lumen Field, Seattle",1G,3AEHIJ
match-081,81,Round of 32,2026-07-02T00:00:00Z,"Levi's Stadium, Santa Clara",1D,3BEFIJ
match-084,84,Round of 32,2026-07-02T19:00:00Z,"Sofi Stadium, Inglewood",1H,2J
match-083,83,Round of 32,2026-07-02T23:00:00Z,"BMO Field, Toronto",2K,2L
match-085,85,Round of 32,2026-07-03T03:00:00Z,"BC Place, Vancouver",2B,3EFGIJ
match-088,88,Round of 32,2026-07-03T18:00:00Z,"AT&T Stadium, Arlington",2D,2G
match-086,86,Round of 32,2026-07-03T22:00:00Z,"Hard Rock Stadium, Miami Gardens",1J,2H
match-087,87,Round of 32,2026-07-04T01:30:00Z,"Arrowhead Stadium, Kansas City",1K,3DEIJL
match-090,90,Round of 16,2026-07-04T17:00:00Z,"NRG Stadium, Houston",W73,W75
match-089,89,Round of 16,2026-07-04T21:00:00Z,"Lincoln Financial Field, Philadelphia",W74,W77
match-091,91,Round of 16,2026-07-05T20:00:00Z,"MetLife Stadium, East Rutherford",W76,W78
match-092,92,Round of 16,2026-07-06T00:00:00Z,"Estadio Azteca, Mexico City",W79,W80
match-093,93,Round of 16,2026-07-06T19:00:00Z,"AT&T Stadium, Arlington",W83,W84
match-094,94,Round of 16,2026-07-07T00:00:00Z,"Lumen Field, Seattle",W81,W82
match-095,95,Round of 16,2026-07-07T16:00:00Z,"Mercedes-Benz Stadium, Atlanta",W86,W88
match-096,96,Round of 16,2026-07-07T20:00:00Z,"BC Place, Vancouver",W85,W87
match-097,97,Quarterfinals,2026-07-09T20:00:00Z,"Gillette Stadium, Foxborough",W89,W90
match-098,98,Quarterfinals,2026-07-10T19:00:00Z,"Sofi Stadium, Inglewood",W93,W94
match-099,99,Quarterfinals,2026-07-11T21:00:00Z,"Hard Rock Stadium, Miami Gardens",W91,W92
match-100,100,Quarterfinals,2026-07-12T01:00:00Z,"Arrowhead Stadium, Kansas City",W95,W96
match-101,101,Semifinals,2026-07-14T19:00:00Z,"AT&T Stadium, Arlington",W97,W98
match-102,102,Semifinals,2026-07-15T19:00:00Z,"Mercedes-Benz Stadium, Atlanta",W99,W100
match-103,103,Third Place,2026-07-18T21:00:00Z,"Hard Rock Stadium, Miami Gardens",L101,L102
match-104,104,Final,2026-07-19T19:00:00Z,"MetLife Stadium, East Rutherford",W101,W102
